2012-11-27 13:22:59 Warning: Warning (512): /home/gillette/public_html/site.admin/tmp/cache/persistent/ is not writable in [/home/gillette/cakephp_framework.1.3/cake/libs/cache/file.php, line 267]
2012-11-27 13:22:59 Warning: Warning (512): /home/gillette/public_html/site.admin/tmp/cache/models/ is not writable in [/home/gillette/cakephp_framework.1.3/cake/libs/cache/file.php, line 267]
2012-11-27 13:22:59 Warning: Warning (2): mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'koch'@'localhost' (using password: NO) in [/home/gillette/cakephp_framework.1.3/cake/libs/model/datasources/dbo/dbo_mysql.php, line 552]
2012-11-27 13:22:59 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [/home/gillette/cakephp_framework.1.3/cake/libs/model/datasources/dbo/dbo_mysql.php, line 558]
2012-11-27 13:22:59 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/gillette/cakephp_framework.1.3/cake/libs/model/datasources/dbo/dbo_mysql.php, line 600]
2012-11-27 13:22:59 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [/home/gillette/cakephp_framework.1.3/cake/libs/model/datasources/dbo/dbo_mysql.php, line 566]
2012-11-27 13:22:59 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/gillette/cakephp_framework.1.3/cake/libs/model/datasources/dbo/dbo_mysql.php, line 600]
2012-11-27 13:22:59 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/gillette/cakephp_framework.1.3/cake/libs/model/datasources/dbo/dbo_mysql.php, line 600]
2012-11-27 13:22:59 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/gillette/cakephp_framework.1.3/cake/libs/model/datasources/dbo/dbo_mysql.php, line 600]
2012-11-27 14:01:16 Warning: Warning (512): /home/gillette/public_html/site.admin/tmp/cache/persistent/ is not writable in [/home/gillette/cakephp_framework.1.3/cake/libs/cache/file.php, line 267]
2012-11-27 14:01:16 Warning: Warning (512): /home/gillette/public_html/site.admin/tmp/cache/models/ is not writable in [/home/gillette/cakephp_framework.1.3/cake/libs/cache/file.php, line 267]
2012-11-27 14:01:16 Warning: Warning (2): mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'koch'@'localhost' (using password: NO) in [/home/gillette/cakephp_framework.1.3/cake/libs/model/datasources/dbo/dbo_mysql.php, line 552]
2012-11-27 14:01:16 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [/home/gillette/cakephp_framework.1.3/cake/libs/model/datasources/dbo/dbo_mysql.php, line 558]
2012-11-27 14:01:16 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/gillette/cakephp_framework.1.3/cake/libs/model/datasources/dbo/dbo_mysql.php, line 600]
2012-11-27 14:01:16 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [/home/gillette/cakephp_framework.1.3/cake/libs/model/datasources/dbo/dbo_mysql.php, line 566]
2012-11-27 14:01:16 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/gillette/cakephp_framework.1.3/cake/libs/model/datasources/dbo/dbo_mysql.php, line 600]
2012-11-27 14:01:16 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/gillette/cakephp_framework.1.3/cake/libs/model/datasources/dbo/dbo_mysql.php, line 600]
