2012-12-05 19:36:23 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-05 19:36:23 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50bfbdbd-0d0c-4709-b9c7-206bbd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-05 19:36:24 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-05 19:36:24 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50bfbdbe-e9f0-4370-9b1f-206dbd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-05 19:36:46 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-05 19:36:46 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50bfbdbe-e9f0-4370-9b1f-206dbd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-05 19:36:46 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-05 19:36:46 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50bfbdbd-0d0c-4709-b9c7-206bbd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-05 19:36:54 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
